"","word","joy","sadness","contentment_joysad","category"
"1","deal",236,0,236,"joy"
"2","pay",55,0,55,"joy"
"3","save",32,0,32,"joy"
"4","money",30,0,30,"joy"
"5","love",26,0,26,"joy"
"6","share",24,0,24,"joy"
"7","cash",17,0,17,"joy"
"8","content",17,0,17,"joy"
"9","hope",16,0,16,"joy"
"10","succeed",14,0,14,"joy"
"11","white",14,0,14,"joy"
"12","gain",11,0,11,"joy"
"13","special",11,0,11,"joy"
"14","true",11,0,11,"joy"
"15","grow",10,0,10,"joy"
"16","organ",10,0,10,"joy"
"17","laugh",9,0,9,"joy"
"18","vow",7,0,7,"joy"
"19","comfort",6,0,6,"joy"
"20","found",6,0,6,"joy"
"21","glad",6,0,6,"joy"
"22","success",6,0,6,"joy"
"23","enjoy",5,0,5,"joy"
"24","green",5,0,5,"joy"
"25","progress",5,0,5,"joy"
"26","brilliant",4,0,4,"joy"
"27","excel",4,0,4,"joy"
"28","labor",4,0,4,"joy"
"29","bless",3,0,3,"joy"
"30","eager",3,0,3,"joy"
"31","entertain",3,0,3,"joy"
"32","jump",3,0,3,"joy"
"33","kiss",3,0,3,"joy"
"34","angel",2,0,2,"joy"
"35","award",2,0,2,"joy"
"36","beach",2,0,2,"joy"
"37","beer",2,0,2,"joy"
"38","bloom",2,0,2,"joy"
"39","friend",2,0,2,"joy"
"40","gift",2,0,2,"joy"
"41","glow",2,0,2,"joy"
"42","grant",2,0,2,"joy"
"43","hire",2,0,2,"joy"
"44","holiday",2,0,2,"joy"
"45","infant",2,0,2,"joy"
"46","kind",2,0,2,"joy"
"47","loyal",2,0,2,"joy"
"48","nap",2,0,2,"joy"
"49","pray",2,0,2,"joy"
"50","prosper",2,0,2,"joy"
"51","score",2,0,2,"joy"
"52","star",2,0,2,"joy"
"53","sun",2,0,2,"joy"
"54","cheer",1,0,1,"joy"
"55","clean",1,0,1,"joy"
"56","exceed",1,0,1,"joy"
"57","fun",1,0,1,"joy"
"58","safe",1,0,1,"joy"
"59","honest",2,2,0,"neutral"
"60","music",1,1,0,"neutral"
"61","vote",12,12,0,"neutral"
"62","bitch",0,1,-1,"sadness"
"63","cross",0,1,-1,"sadness"
"64","death",0,1,-1,"sadness"
"65","demolish",0,1,-1,"sadness"
"66","disgust",0,1,-1,"sadness"
"67","dishonest",0,1,-1,"sadness"
"68","prison",0,1,-1,"sadness"
"69","revolution",0,1,-1,"sadness"
"70","bang",0,2,-2,"sadness"
"71","bankrupt",0,2,-2,"sadness"
"72","beg",0,2,-2,"sadness"
"73","cancer",0,2,-2,"sadness"
"74","coward",0,2,-2,"sadness"
"75","dark",0,2,-2,"sadness"
"76","default",0,2,-2,"sadness"
"77","devil",0,2,-2,"sadness"
"78","dire",0,2,-2,"sadness"
"79","doubt",0,2,-2,"sadness"
"80","flaw",0,2,-2,"sadness"
"81","gloom",0,2,-2,"sadness"
"82","pain",0,2,-2,"sadness"
"83","powerless",0,2,-2,"sadness"
"84","quiet",0,2,-2,"sadness"
"85","restrict",0,2,-2,"sadness"
"86","rob",0,2,-2,"sadness"
"87","sick",0,2,-2,"sadness"
"88","slump",0,2,-2,"sadness"
"89","steal",0,2,-2,"sadness"
"90","unfair",0,2,-2,"sadness"
"91","upset",0,2,-2,"sadness"
"92","wan",0,2,-2,"sadness"
"93","abandon",0,3,-3,"sadness"
"94","broken",0,3,-3,"sadness"
"95","crash",0,3,-3,"sadness"
"96","danger",0,3,-3,"sadness"
"97","inferior",0,3,-3,"sadness"
"98","complain",0,4,-4,"sadness"
"99","fall",0,4,-4,"sadness"
"100","meaningless",0,4,-4,"sadness"
"101","tough",0,4,-4,"sadness"
"102","shot",0,5,-5,"sadness"
"103","shrink",0,5,-5,"sadness"
"104","breakup",0,6,-6,"sadness"
"105","hate",0,6,-6,"sadness"
"106","tax",0,6,-6,"sadness"
"107","traitor",0,6,-6,"sadness"
"108","bottom",0,7,-7,"sadness"
"109","debt",0,8,-8,"sadness"
"110","late",0,9,-9,"sadness"
"111","disappoint",0,11,-11,"sadness"
"112","sue",0,11,-11,"sadness"
"113","delay",0,12,-12,"sadness"
"114","margin",0,12,-12,"sadness"
"115","trash",0,12,-12,"sadness"
"116","lie",0,13,-13,"sadness"
"117","lost",0,13,-13,"sadness"
"118","cancel",0,14,-14,"sadness"
"119","kill",0,20,-20,"sadness"
"120","depart",0,21,-21,"sadness"
"121","lose",0,24,-24,"sadness"
"122","lawsuit",0,30,-30,"sadness"
"123","black",0,36,-36,"sadness"
"124","hurt",0,36,-36,"sadness"
"125","loss",0,42,-42,"sadness"
"126","reject",0,54,-54,"sadness"
"127","bad",0,61,-61,"sadness"
"128","lower",0,88,-88,"sadness"
"129","disconnect",0,124,-124,"sadness"
