"","word","joy","sadness","contentment_joysad","category"
"1","deal",585,0,585,"joy"
"2","pay",544,0,544,"joy"
"3","special",219,0,219,"joy"
"4","content",107,0,107,"joy"
"5","save",107,0,107,"joy"
"6","money",95,0,95,"joy"
"7","share",90,0,90,"joy"
"8","laugh",88,0,88,"joy"
"9","succeed",83,0,83,"joy"
"10","love",75,0,75,"joy"
"11","cash",74,0,74,"joy"
"12","true",67,0,67,"joy"
"13","gain",65,0,65,"joy"
"14","grow",65,0,65,"joy"
"15","labor",62,0,62,"joy"
"16","vow",58,0,58,"joy"
"17","enjoy",56,0,56,"joy"
"18","excel",53,0,53,"joy"
"19","beer",46,0,46,"joy"
"20","score",44,0,44,"joy"
"21","award",37,0,37,"joy"
"22","prosper",37,0,37,"joy"
"23","comfort",33,0,33,"joy"
"24","found",33,0,33,"joy"
"25","white",21,0,21,"joy"
"26","brilliant",18,0,18,"joy"
"27","hope",18,0,18,"joy"
"28","glow",14,0,14,"joy"
"29","success",11,0,11,"joy"
"30","organ",10,0,10,"joy"
"31","glad",9,0,9,"joy"
"32","green",9,0,9,"joy"
"33","bless",8,0,8,"joy"
"34","star",7,0,7,"joy"
"35","progress",6,0,6,"joy"
"36","kiss",4,0,4,"joy"
"37","angel",3,0,3,"joy"
"38","eager",3,0,3,"joy"
"39","entertain",3,0,3,"joy"
"40","grant",3,0,3,"joy"
"41","jump",3,0,3,"joy"
"42","loyal",3,0,3,"joy"
"43","nap",3,0,3,"joy"
"44","beach",2,0,2,"joy"
"45","bloom",2,0,2,"joy"
"46","friend",2,0,2,"joy"
"47","gift",2,0,2,"joy"
"48","hire",2,0,2,"joy"
"49","holiday",2,0,2,"joy"
"50","infant",2,0,2,"joy"
"51","kind",2,0,2,"joy"
"52","pray",2,0,2,"joy"
"53","sun",2,0,2,"joy"
"54","cheer",1,0,1,"joy"
"55","clean",1,0,1,"joy"
"56","exceed",1,0,1,"joy"
"57","fun",1,0,1,"joy"
"58","safe",1,0,1,"joy"
"59","honest",2,2,0,"neutral"
"60","music",1,1,0,"neutral"
"61","vote",18,18,0,"neutral"
"62","bitch",0,1,-1,"sadness"
"63","cross",0,1,-1,"sadness"
"64","death",0,1,-1,"sadness"
"65","demolish",0,1,-1,"sadness"
"66","disgust",0,1,-1,"sadness"
"67","dishonest",0,1,-1,"sadness"
"68","prison",0,1,-1,"sadness"
"69","revolution",0,1,-1,"sadness"
"70","bankrupt",0,2,-2,"sadness"
"71","beg",0,2,-2,"sadness"
"72","dark",0,2,-2,"sadness"
"73","dire",0,2,-2,"sadness"
"74","flaw",0,2,-2,"sadness"
"75","slump",0,2,-2,"sadness"
"76","cancer",0,3,-3,"sadness"
"77","danger",0,3,-3,"sadness"
"78","doubt",0,3,-3,"sadness"
"79","quiet",0,3,-3,"sadness"
"80","sick",0,3,-3,"sadness"
"81","upset",0,3,-3,"sadness"
"82","crash",0,5,-5,"sadness"
"83","shot",0,5,-5,"sadness"
"84","tough",0,6,-6,"sadness"
"85","fall",0,7,-7,"sadness"
"86","hate",0,7,-7,"sadness"
"87","pain",0,7,-7,"sadness"
"88","complain",0,9,-9,"sadness"
"89","traitor",0,10,-10,"sadness"
"90","rob",0,11,-11,"sadness"
"91","bang",0,12,-12,"sadness"
"92","delay",0,13,-13,"sadness"
"93","cancel",0,14,-14,"sadness"
"94","wan",0,14,-14,"sadness"
"95","shrink",0,17,-17,"sadness"
"96","sue",0,20,-20,"sadness"
"97","abandon",0,21,-21,"sadness"
"98","trash",0,21,-21,"sadness"
"99","coward",0,25,-25,"sadness"
"100","steal",0,25,-25,"sadness"
"101","broken",0,26,-26,"sadness"
"102","inferior",0,26,-26,"sadness"
"103","default",0,27,-27,"sadness"
"104","gloom",0,27,-27,"sadness"
"105","restrict",0,27,-27,"sadness"
"106","meaningless",0,33,-33,"sadness"
"107","disappoint",0,38,-38,"sadness"
"108","lawsuit",0,38,-38,"sadness"
"109","devil",0,44,-44,"sadness"
"110","lost",0,45,-45,"sadness"
"111","powerless",0,46,-46,"sadness"
"112","unfair",0,46,-46,"sadness"
"113","breakup",0,49,-49,"sadness"
"114","depart",0,50,-50,"sadness"
"115","late",0,59,-59,"sadness"
"116","margin",0,64,-64,"sadness"
"117","bottom",0,67,-67,"sadness"
"118","debt",0,70,-70,"sadness"
"119","tax",0,85,-85,"sadness"
"120","black",0,93,-93,"sadness"
"121","lie",0,107,-107,"sadness"
"122","kill",0,121,-121,"sadness"
"123","disconnect",0,209,-209,"sadness"
"124","hurt",0,216,-216,"sadness"
"125","lose",0,251,-251,"sadness"
"126","reject",0,413,-413,"sadness"
"127","bad",0,417,-417,"sadness"
"128","loss",0,443,-443,"sadness"
"129","lower",0,799,-799,"sadness"
